Dose_EPX,Dose_IMD,Response,Line,Ratio,Nb_rep
0.9418,0,19,1,E,1
0.9418,0,10,1,E,2
9.4181,0,18,2,E,1
9.4181,0,19,2,E,2
52.9619,0,9,3,E,1
52.9619,0,11,3,E,2
94.181,0,14,4,E,1
94.181,0,4,4,E,2
167.4801,0,12,5,E,1
167.4801,0,15,5,E,2
297.8264,0,6,6,E,1
297.8264,0,0,6,E,2
529.6186,0,1,7,E,1
529.6186,0,2,7,E,2
0,0.0026,19,1,I,1
0,0.0026,19,1,I,2
0,0.0261,3,2,I,1
0,0.0261,6,2,I,2
0,0.1468,10,3,I,1
0,0.1468,11,3,I,2
0,0.2611,7,4,I,1
0,0.2611,1,4,I,2
0,0.4643,6,5,I,1
0,0.4643,5,5,I,2
0,0.8256,0,6,I,1
0,0.8256,0,6,I,2
0,1.4682,0,7,I,1
0,1.4682,1,7,I,2
0,0,9,0,N,1
0,0,3,0,N,2
0.9418,0,9,1,E,3
9.4181,0,11,2,E,3
52.9619,0,9,3,E,3
94.181,0,13,4,E,3
167.4801,0,11,5,E,3
297.8264,0,1,6,E,3
529.6186,0,4,7,E,3
0,0.0026,21,1,I,3
0,0.0261,22,2,I,3
0,0.1468,18,3,I,3
0,0.2611,6,4,I,3
0,0.4643,2,5,I,3
0,0.8256,0,6,I,3
0,1.4682,1,7,I,3
0,0,11,0,N,3
0.9418,0,7,1,E,4
9.4181,0,18,2,E,4
52.9619,0,7,3,E,4
94.181,0,15,4,E,4
167.4801,0,0,5,E,4
297.8264,0,3,6,E,4
529.6186,0,3,7,E,4
0,0.0026,16,1,I,4
0,0.0261,12,2,I,4
0,0.1468,15,3,I,4
0,0.2611,6,4,I,4
0,0.4643,2,5,I,4
0,0.8256,0,6,I,4
0,1.4682,0,7,I,4
0,0,14,0,N,4
