ID,Ratio,Line,Nb_rep,Coc_height,Coc_width
1,E,1,1,3.443,2.553
2,E,1,1,3.641,2.948
3,E,1,1,3.305,2.677
4,E,1,1,3.189,2.725
5,E,1,1,3.097,2.399
6,E,1,1,3.629,2.516
7,E,1,1,3.113,2.492
8,E,1,1,3.691,2.847
9,E,1,1,3.033,2.379
10,E,1,1,3.451,2.734
11,E,1,1,2.8,2.497
12,E,1,1,3.231,2.568
13,E,1,1,3.035,2.234
14,E,1,1,3.05,2.403
15,E,1,1,3.357,2.786
16,E,1,1,3.199,2.324
17,E,1,1,3.237,2.465
18,E,1,1,3.384,2.517
19,E,1,1,2.341,2.812
20,E,1,2,3.549,2.837
21,E,1,2,3.211,2.7
22,E,1,2,3.369,2.488
23,E,1,2,4.171,3.036
24,E,1,2,3.667,2.793
25,E,1,2,3.186,2.557
26,E,1,2,3.162,2.581
27,E,1,2,3.437,2.5
28,E,1,2,3.47,2.66
29,E,1,2,3.656,2.854
30,E,1,3,3.107,2.62
31,E,1,3,3.027,2.317
32,E,1,3,3.402,2.714
33,E,1,3,3.131,2.4
34,E,1,3,3.469,2.617
35,E,1,3,2.83,2.507
36,E,1,3,3.353,2.151
37,E,1,3,3.086,2.383
38,E,1,3,3.58,2.491
39,E,2,1,3.188,2.522
40,E,2,1,3.45,2.392
41,E,2,1,3.178,2.282
42,E,2,1,2.88,2.349
43,E,2,1,3.178,2.577
44,E,2,1,3.501,2.847
45,E,2,1,3.118,2.395
46,E,2,1,3.257,2.337
47,E,2,1,3.305,2.663
48,E,2,1,3.273,2.775
49,E,2,1,3.064,2.24
50,E,2,1,3.038,2.531
51,E,2,1,3.228,2.596
52,E,2,1,3.16,2.464
53,E,2,1,3.353,2.464
54,E,2,1,3.05,2.56
55,E,2,1,3.305,2.558
56,E,2,1,3.174,2.903
57,E,2,2,3.227,2.609
58,E,2,2,3.347,2.388
59,E,2,2,3.867,3.06
60,E,2,2,3.121,2.366
61,E,2,2,2.926,2.183
62,E,2,2,3.41,2.757
63,E,2,2,3.308,2.567
64,E,2,2,2.993,2.186
65,E,2,2,3.467,2.877
66,E,2,2,3.703,2.546
67,E,2,2,3.402,2.7
68,E,2,2,3.636,2.798
69,E,2,2,3.371,2.452
70,E,2,2,3.017,2.76
71,E,2,2,3.36,2.767
72,E,2,2,3.069,2.711
73,E,2,2,3.078,2.258
74,E,2,2,2.835,2.562
75,E,2,3,2.966,2.288
76,E,2,3,2.79,2.628
77,E,2,3,3.258,2.558
78,E,2,3,3.328,2.501
79,E,2,3,3.282,2.561
80,E,2,3,3.536,2.617
81,E,2,3,3.568,2.535
82,E,2,3,3.495,2.358
83,E,2,3,3.478,2.454
84,E,2,3,3.302,2.629
85,E,2,3,3.71,2.729
86,E,3,1,3.162,2.507
87,E,3,1,3.19,2.399
88,E,3,1,3.45,2.464
89,E,3,1,3.135,2.09
90,E,3,1,3.081,2.517
91,E,3,1,3.281,2.512
92,E,3,1,3.518,2.529
93,E,3,1,3.134,2.182
94,E,3,1,3.118,2.144
95,E,3,1,3.528,2.685
96,E,3,2,2.898,2.513
97,E,3,2,3.069,2.522
98,E,3,2,3.255,2.639
99,E,3,2,2.977,2.684
100,E,3,2,4.05,2.517
101,E,3,2,3.062,2.588
102,E,3,2,3.111,2.476
103,E,3,2,3.359,2.665
104,E,3,2,3.041,2.29
105,E,3,2,3.236,2.71
106,E,3,2,2.819,2.595
107,E,3,3,3.47,2.643
108,E,3,3,3.617,2.848
109,E,3,3,3.553,2.614
110,E,3,3,3.257,2.386
111,E,3,3,3.828,2.628
112,E,3,3,3.448,2.61
113,E,3,3,3.923,2.715
114,E,3,3,3.18,2.292
115,E,3,3,3.631,2.676
116,E,4,1,3.239,2.345
117,E,4,1,2.877,2.39
118,E,4,1,3.527,2.531
119,E,4,1,3.433,2.436
120,E,4,1,3.558,2.624
121,E,4,1,3.182,2.692
122,E,4,1,2.99,2.465
123,E,4,1,3.375,2.566
124,E,4,1,3.242,2.317
125,E,4,1,2.936,2.22
126,E,4,1,2.642,2.448
127,E,4,1,3.16,2.421
128,E,4,1,2.935,2.143
129,E,4,1,3.101,1.833
130,E,4,2,3.508,2.37
131,E,4,2,3.369,2.517
132,E,4,2,3.016,2.34
133,E,4,2,3.035,2.327
134,E,4,3,3.107,2.635
135,E,4,3,3.714,2.334
136,E,4,3,3.062,2.302
137,E,4,3,3.198,2.519
138,E,4,3,3.507,2.614
139,E,4,3,3.492,2.6
140,E,4,3,3.288,2.349
141,E,4,3,2.975,2.56
142,E,4,3,3.251,2.047
143,E,4,3,2.939,2.675
144,E,4,3,3.03,2.588
145,E,4,3,3.241,2.56
146,E,4,3,3.368,2.66
147,E,5,1,3.22,2.449
148,E,5,1,3.318,2.585
149,E,5,1,3.596,2.585
150,E,5,1,3.39,2.536
151,E,5,1,3.414,2.709
152,E,5,1,3.557,2.691
153,E,5,1,2.984,2.547
154,E,5,1,3.682,2.196
155,E,5,1,3.736,2.379
156,E,5,1,3.281,2.686
157,E,5,1,3.48,2.589
158,E,5,1,3.516,2.399
159,E,5,2,2.831,2.395
160,E,5,2,3.229,2.352
161,E,5,2,3.337,2.209
162,E,5,2,3.172,2.405
163,E,5,2,2.944,2.352
164,E,5,2,3.173,2.487
165,E,5,2,3.213,2.327
166,E,5,2,3.272,2.411
167,E,5,2,3.078,2.513
168,E,5,2,3.459,2.715
169,E,5,2,3.268,2.751
170,E,5,2,2.89,2.808
171,E,5,2,3.393,2.34
172,E,5,2,2.937,2.534
173,E,5,2,3.595,2.77
174,E,5,3,3.119,2.787
175,E,5,3,3.292,2.456
176,E,5,3,3.784,2.636
177,E,5,3,3.581,2.813
178,E,5,3,3.17,2.701
179,E,5,3,3.223,2.5
180,E,5,3,3.399,2.561
181,E,5,3,3.203,2.551
182,E,5,3,3.5,2.687
183,E,5,3,2.998,2.603
184,E,5,3,3.167,2.422
185,E,6,1,3.653,2.305
186,E,6,1,3.002,2.466
187,E,6,1,3.061,2.414
188,E,6,1,3.322,2.218
189,E,6,1,3.13,2.483
190,E,6,1,3.339,2.177
191,E,6,3,3.087,2.268
192,E,7,1,3.09,2.359
193,E,7,2,3.646,2.53
194,E,7,2,3.531,2.554
195,E,7,3,3.824,2.559
196,E,7,3,3.782,2.526
197,E,7,3,3.976,2.55
198,E,7,3,3.408,2.378
199,F,1,1,3.411,2.151
200,F,1,1,3.382,2.437
201,F,1,1,3.366,2.186
202,F,1,1,3.327,2.812
203,F,1,1,3.434,2.287
204,F,1,1,3.325,2.543
205,F,1,1,2.834,2.413
206,F,1,1,3.229,2.224
207,F,1,1,3.168,2.182
208,F,1,1,3.571,2.328
209,F,1,1,3.231,2.45
210,F,1,1,3.522,2.307
211,F,1,1,3.365,2.375
212,F,1,1,3.43,2.545
213,F,1,1,3.181,2.63
214,F,1,2,3.618,2.255
215,F,1,2,3.502,2.728
216,F,1,2,3.361,2.867
217,F,1,2,3.236,2.63
218,F,1,2,3.529,2.531
219,F,1,2,3.633,2.695
220,F,1,2,3.845,2.622
221,F,1,3,3.296,2.405
222,F,1,3,3.083,2.207
223,F,1,3,2.918,2.16
224,F,1,3,2.574,2.156
225,F,1,3,2.871,2.566
226,F,1,3,2.716,2.387
227,F,1,3,2.978,2.271
228,F,1,3,3.283,2.145
229,F,1,3,3.347,2.042
230,F,1,3,3.206,2.381
231,F,1,3,3.447,2.603
232,F,2,1,3.235,2.517
233,F,2,1,3.367,2.616
234,F,2,1,3.493,2.786
235,F,2,1,3.056,2.393
236,F,2,1,3.09,2.54
237,F,2,1,2.776,2.588
238,F,2,1,3.269,2.332
239,F,2,1,3.413,2.941
240,F,2,1,3.26,2.282
241,F,2,1,3.078,2.63
242,F,2,1,3.512,2.752
243,F,2,1,3.574,2.646
244,F,2,1,2.915,1.98
245,F,2,1,3.382,2.633
246,F,2,1,3.281,2.793
247,F,2,1,3.178,2.44
248,F,2,2,3.858,2.838
249,F,2,3,3.935,2.55
250,F,2,3,4.14,2.697
251,F,2,3,3.602,2.532
252,F,2,3,3.795,2.558
253,F,2,3,3.9,2.794
254,F,2,3,3.749,2.867
255,F,3,1,3.21,2.9
256,F,3,1,3.283,2.832
257,F,3,1,2.956,2.369
258,F,3,1,2.962,2.639
259,F,3,1,3.229,2.392
260,F,3,1,3.403,2.465
261,F,3,1,3.134,2.334
262,F,3,1,2.95,2.709
263,F,3,1,3.313,2.667
264,F,3,1,3.179,2.565
265,F,3,1,3.117,2.865
266,F,3,1,3.469,2.624
267,F,3,1,3.526,2.383
268,F,3,2,3.954,2.653
269,F,3,2,3.517,2.666
270,F,3,2,3.691,2.587
271,F,3,2,3.44,2.315
272,F,3,2,3.21,2.808
273,F,3,2,3.615,2.696
274,F,3,2,4.042,2.097
275,F,3,2,3.4,2.528
276,F,3,3,2.986,2.443
277,F,3,3,3.12,2.212
278,F,3,3,3.283,2.403
279,F,3,3,2.868,2.503
280,F,3,3,3.183,2.343
281,F,3,3,3.376,2.277
282,F,4,1,3.412,2.514
283,F,4,1,3.599,2.493
284,F,4,1,3.705,2.383
285,F,4,1,3.396,2.166
286,F,4,1,3.315,2.557
287,F,4,1,3.243,2.564
288,F,4,1,3.55,2.691
289,F,4,1,3.305,2.071
290,F,4,1,3.513,2.125
291,F,4,1,3.208,2.418
292,F,4,2,4.115,2.652
293,F,4,2,3.871,2.966
294,F,4,2,3.949,2.698
295,F,4,2,3.985,2.617
296,F,4,2,3.877,2.387
297,F,4,2,4.364,2.511
298,F,4,2,3.708,2.31
299,F,4,2,3.679,2.27
300,F,4,2,3.328,2.506
301,F,4,2,3.822,2.74
302,F,4,2,3.876,2.529
303,F,4,2,3.648,2.403
304,F,4,3,3.027,2.431
305,F,4,3,3.947,2.626
306,F,4,3,3.613,2.693
307,F,4,3,3.207,2.53
308,F,4,3,3.981,2.357
309,F,4,3,3.655,2.407
310,F,4,3,3.977,2.603
311,F,4,3,3.702,2.493
312,F,4,3,3.823,2.484
313,F,4,3,3.913,2.241
314,F,4,3,2.919,2.083
315,F,4,3,4.223,2.354
316,F,4,3,2.815,2.572
317,F,5,1,3.437,2.437
318,F,5,1,4.1,2.004
319,F,5,1,3.397,2.317
320,F,5,2,3.353,2.098
321,F,5,2,3.54,2.515
322,F,5,2,3.635,2.45
323,F,5,2,3.314,2.487
324,F,5,2,3.816,2.46
325,F,5,2,3.522,2.184
326,F,5,2,3.617,2.564
327,F,5,2,3.196,2.43
328,F,5,2,3.423,2.518
329,F,5,2,3.073,2.184
330,F,5,2,3.812,2.297
331,F,5,2,3.353,2.201
332,F,5,2,3.258,2.059
333,F,5,3,3.981,2.209
334,F,5,3,3.79,2.325
335,F,5,3,3.418,2.625
336,F,5,3,3.158,2.233
337,F,5,3,3.479,2.319
338,F,5,3,3.135,2.346
339,F,5,3,3.848,2.236
340,F,5,3,3.062,2.539
341,F,5,3,4.197,2.245
342,F,5,3,3.556,2.514
343,F,6,2,3.727,2.429
344,F,6,2,3.517,2.467
345,G,1,1,4.44,3.025
346,G,1,1,3.541,2.395
347,G,1,1,3.458,2.431
348,G,1,1,3.785,2.612
349,G,1,1,3.9,2.461
350,G,1,1,3.637,2.464
351,G,1,1,3.387,2.76
352,G,1,1,3.569,2.541
353,G,1,1,3.368,2.421
354,G,1,1,3.22,2.568
355,G,1,1,3.776,2.692
356,G,1,1,3.78,2.761
357,G,1,2,3.026,2.534
358,G,1,2,3.462,2.553
359,G,1,2,3.832,2.582
360,G,1,2,3.577,2.629
361,G,1,2,3.441,2.484
362,G,1,2,3.628,2.361
363,G,1,2,3.185,2.318
364,G,1,2,3.567,2.356
365,G,1,2,3.215,2.444
366,G,1,3,2.986,1.998
367,G,1,3,3.19,2.417
368,G,1,3,3.288,2.498
369,G,1,3,2.85,2.144
370,G,1,3,3.354,2.401
371,G,1,3,3.328,2.652
372,G,1,3,3.19,2.376
373,G,1,3,2.663,1.998
374,G,1,3,3.496,2.454
375,G,1,3,3.08,2.308
376,G,1,3,3.196,2.513
377,G,1,3,3.059,2.309
378,G,1,3,2.928,2.288
379,G,1,3,3.115,2.527
380,G,1,3,3.091,2.684
381,G,1,3,3.328,2.328
382,G,1,3,3.283,2.619
383,G,1,3,3.52,2.513
384,G,1,3,2.915,2.081
385,G,2,1,3.146,2.947
386,G,2,1,3.052,2.751
387,G,2,1,2.822,2.421
388,G,2,1,3.335,2.784
