 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.157,104.152,77.667,129.333,104.514,66.374,87.990,2.966
2,0.122,118.113,103.697,167.364,104.358,66.582,1.302,2.288
3,0.149,104.895,82.728,137.481,96.975,72.744,-116.565,2.790
4,0.141,102.595,88.399,121.000,97.001,72.822,-27.072,2.628
5,0.173,77.941,43.344,120.293,111.794,72.874,-114.520,3.258
6,0.135,89.499,66.085,124.610,111.950,73.108,-26.565,2.558
7,0.176,68.300,26.667,119.250,111.846,75.838,-0.895,3.328
8,0.132,70.381,44.792,108.292,111.872,75.760,86.424,2.501
9,0.173,81.002,51.159,152.074,111.872,78.412,3.633,3.282
10,0.135,78.056,49.000,142.878,111.872,78.334,-84.174,2.561
11,0.187,92.153,57.182,142.867,118.606,73.914,53.973,3.536
12,0.138,103.803,85.945,146.667,118.606,74.122,-40.972,2.617
13,0.189,76.854,50.996,152.333,99.861,94.895,-18.699,3.568
14,0.135,79.377,58.498,101.408,99.809,94.895,64.486,2.535
15,0.184,83.871,48.399,104.243,113.744,94.219,43.191,3.495
16,0.124,93.506,86.133,132.333,113.458,94.115,-48.576,2.358
17,0.184,89.807,50.065,153.737,105.528,103.760,-58.449,3.478
18,0.130,95.220,69.708,122.110,105.450,103.578,36.384,2.454
19,0.176,72.050,52.125,103.656,108.258,104.592,-116.162,3.302
20,0.141,86.680,53.000,151.667,108.206,104.592,-24.538,2.629
21,0.195,66.488,38.497,119.667,105.528,106.880,-58.761,3.710
22,0.143,74.744,54.160,97.873,105.476,107.036,30.964,2.729
