 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.176,82.510,58.297,110.333,34.092,102.056,-73.968,3.954
2,0.118,93.001,65.524,129.000,34.070,102.297,17.241,2.653
3,0.156,97.690,56.580,123.494,43.242,102.733,14.381,3.517
4,0.118,112.192,86.896,165.684,43.264,102.602,-71.862,2.666
5,0.164,65.573,46.211,92.615,46.409,101.336,-20.794,3.691
6,0.114,66.600,43.422,97.667,46.387,101.139,68.199,2.587
7,0.153,67.321,37.878,79.835,47.479,98.693,-40.365,3.440
8,0.103,74.315,40.903,144.357,47.545,98.824,54.211,2.315
9,0.141,67.714,42.224,79.741,44.793,94.849,75.018,3.210
10,0.124,75.392,61.239,94.000,44.902,94.937,-15.333,2.808
11,0.160,86.169,47.333,107.451,47.763,95.767,25.017,3.615
12,0.120,96.670,68.182,128.580,47.829,95.767,-63.020,2.696
13,0.179,79.546,54.333,118.828,50.406,97.579,-83.797,4.042
14,0.093,83.154,44.125,124.458,49.838,97.645,1.193,2.097
15,0.151,89.229,60.333,129.639,52.393,97.951,-69.702,3.400
16,0.113,92.656,65.667,126.667,52.437,98.060,18.122,2.528
