 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.163,78.100,54.725,135.405,107.337,70.821,-45.690,3.055
2,0.119,86.042,74.966,128.833,107.493,70.873,40.314,2.253
3,0.168,78.315,50.434,98.375,103.993,80.151,-99.846,3.196
4,0.127,84.106,71.227,142.500,103.849,80.321,-10.081,2.379
5,0.160,105.561,71.291,163.821,95.586,79.436,58.100,3.004
6,0.125,116.370,107.682,164.667,95.495,79.345,-32.811,2.354
7,0.184,82.726,48.000,106.955,106.400,84.381,-20.854,3.509
8,0.125,95.138,71.793,136.083,106.478,84.303,69.146,2.340
9,0.173,99.339,74.952,113.568,100.010,92.944,-46.600,3.296
10,0.122,110.127,99.819,125.583,99.945,92.970,45.000,2.282
11,0.149,92.255,70.889,117.500,102.717,97.772,-28.229,2.806
12,0.117,107.303,88.660,150.245,102.717,97.824,62.526,2.200
13,0.154,78.891,67.992,94.000,109.784,94.076,-11.810,2.925
14,0.125,84.031,63.000,116.250,109.901,94.219,81.781,2.367
15,0.160,84.063,56.181,147.641,109.745,96.601,69.386,3.031
16,0.130,84.506,64.074,101.601,109.784,96.653,-27.108,2.456
17,0.154,79.411,46.699,122.736,112.243,97.056,-55.597,2.902
18,0.117,91.382,76.312,117.901,112.269,97.095,43.059,2.173
19,0.157,63.836,51.579,72.407,115.809,93.009,-36.363,2.941
20,0.125,79.051,60.453,120.333,115.809,93.230,57.189,2.354
21,0.160,98.235,71.333,138.272,121.314,87.374,-32.320,3.018
22,0.117,105.872,97.132,126.663,121.418,87.270,56.689,2.180
23,0.176,70.350,62.329,107.372,126.454,90.380,-10.426,3.308
24,0.119,75.088,60.833,107.583,126.415,90.315,84.685,2.248
25,0.171,72.876,53.583,119.000,131.712,89.118,-17.710,3.251
26,0.130,85.619,54.136,156.500,131.595,89.222,75.069,2.424
27,0.165,74.320,55.987,122.530,132.649,87.127,12.061,3.114
28,0.130,77.000,66.203,103.333,132.623,87.049,-75.816,2.443
29,0.149,99.623,60.885,113.588,126.819,98.475,-15.440,2.835
30,0.108,105.532,80.615,134.897,126.701,98.540,81.254,2.054
