 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.205,75.390,57.384,88.876,63.357,87.054,-23.471,4.095
2,0.139,85.169,62.060,116.000,63.678,87.152,-114.274,2.765
3,0.191,107.915,60.533,145.909,61.973,89.574,-63.768,3.801
4,0.144,113.084,90.094,150.955,61.874,89.673,34.509,2.879
5,0.181,96.319,57.406,128.808,64.864,90.760,-87.647,3.611
6,0.144,102.172,77.805,112.356,64.642,90.760,0.988,2.867
7,0.178,86.959,66.690,150.215,67.508,92.119,-65.556,3.583
8,0.127,92.461,71.689,145.333,67.459,92.342,26.565,2.542
9,0.178,90.277,47.105,135.667,65.160,94.269,15.396,3.537
10,0.134,96.916,71.058,143.667,64.815,94.269,-80.362,2.657
11,0.188,101.215,73.163,164.595,77.046,82.359,-118.250,3.759
12,0.154,107.760,94.407,178.333,77.021,82.334,-26.980,3.050
13,0.176,89.041,60.333,122.040,79.295,88.363,-67.751,3.524
14,0.139,104.090,93.918,153.333,79.418,88.413,27.474,2.785
