 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.175,96.012,49.186,139.606,113.743,67.836,-41.228,3.349
2,0.138,109.640,100.743,119.000,113.705,67.745,44.193,2.607
3,0.183,70.545,37.000,106.062,105.240,74.249,-52.012,3.459
4,0.121,75.815,59.902,95.000,105.279,74.120,38.558,2.291
5,0.175,87.962,60.848,149.917,112.147,76.418,-28.179,3.299
6,0.124,93.833,83.393,110.323,112.302,76.457,60.884,2.348
7,0.191,65.543,36.167,116.877,121.897,73.600,-87.940,3.612
8,0.129,82.843,61.390,152.419,121.793,73.587,-1.232,2.415
9,0.173,67.310,41.250,82.672,126.441,79.300,60.990,3.266
10,0.132,74.513,53.084,118.417,126.389,79.456,-31.065,2.516
11,0.191,78.256,43.120,140.364,124.130,82.520,40.068,3.630
12,0.138,78.474,46.833,99.000,124.273,82.442,-53.130,2.597
13,0.186,63.049,47.791,80.221,125.714,84.026,45.891,3.544
14,0.121,64.790,31.333,121.500,126.012,84.298,-37.131,2.280
15,0.183,83.033,51.500,134.167,131.283,88.362,0.000,3.479
16,0.143,85.329,67.917,95.833,131.257,88.323,-90.000,2.674
17,0.189,75.838,42.506,125.000,119.638,88.453,-40.914,3.608
18,0.121,85.028,68.788,139.750,119.508,88.557,51.442,2.291
19,0.165,73.233,59.667,98.187,119.716,96.866,21.176,3.091
20,0.121,81.860,65.161,119.500,119.599,96.892,-68.916,2.310
21,0.170,106.218,62.167,136.250,112.796,90.166,-47.291,3.216
22,0.121,115.119,98.165,129.579,112.887,90.179,42.709,2.297
23,0.181,79.845,49.288,95.761,111.329,91.789,-40.980,3.405
24,0.108,88.848,67.363,117.561,111.238,91.802,50.659,2.048
25,0.197,76.019,44.233,96.591,108.602,92.218,-40.471,3.720
26,0.127,89.781,46.167,170.392,108.628,92.322,48.521,2.391
27,0.183,83.198,58.576,146.000,105.642,85.571,-65.908,3.499
28,0.124,94.744,79.037,123.167,105.915,85.791,24.864,2.347
29,0.165,94.190,67.083,127.466,101.020,93.023,-15.086,3.093
30,0.121,96.456,80.511,150.786,101.215,92.997,-100.421,2.297
31,0.178,79.250,53.336,102.949,103.123,100.021,11.570,3.366
32,0.127,95.379,75.758,151.944,103.033,100.111,-81.254,2.391
33,0.186,90.845,49.498,115.773,106.759,100.241,-0.424,3.505
34,0.132,97.840,81.000,135.000,106.668,100.098,-90.000,2.493
