 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.176,69.666,52.490,110.189,40.060,74.136,36.209,3.475
2,0.138,73.867,55.203,146.333,39.834,74.161,-47.231,2.729
3,0.188,64.370,48.947,111.000,51.677,83.349,13.285,3.705
4,0.140,72.907,54.124,138.667,51.777,83.249,-73.202,2.772
5,0.186,73.598,64.294,87.289,62.268,77.766,43.332,3.649
6,0.143,78.906,63.865,128.667,62.043,77.641,-41.379,2.803
7,0.171,71.115,57.320,93.970,63.370,87.005,20.056,3.358
8,0.120,78.434,63.734,128.000,63.545,87.205,-61.783,2.330
9,0.173,85.813,71.863,107.392,70.956,81.121,-96.710,3.429
10,0.118,85.174,60.333,114.667,70.756,81.096,-3.731,2.308
11,0.163,88.886,71.677,114.108,50.050,97.145,-34.186,3.208
12,0.133,85.554,58.972,144.491,50.350,97.195,-129.523,2.597
13,0.168,74.881,60.135,96.667,64.121,103.004,-15.945,3.281
14,0.103,78.463,66.781,104.000,64.421,102.904,-106.144,1.981
15,0.160,76.821,56.930,88.503,69.729,100.700,-58.570,3.169
16,0.123,90.859,77.595,123.018,69.779,100.976,31.373,2.405
17,0.165,80.878,45.667,104.961,70.580,97.996,-98.005,3.236
18,0.140,85.333,72.309,113.667,70.380,98.021,-7.253,2.776
